Sales Person,Country,Product,Date,Amount,Boxes Shipped
Barr Faughny,USA,Raspberry Choco,8/20/2022,9282.00,101
Wilone O'Kielt,New Zealand,85% Dark Bars,8/21/2022,1827.00,117
Gigi Bohling,New Zealand,Manuka Honey Choco,8/22/2022,8267.00,272
Ches Bonnell,Australia,Eclairs,8/23/2022,4116.00,128
Rafaelita Blaksland,New Zealand,Choco Coated Almonds,8/24/2022,2093.00,45
Brien Boise,New Zealand,Smooth Sliky Salty,8/25/2022,1015.00,27
Brien Boise,Australia,Baker's Choco Chips,8/26/2022,12516.00,212
Dennison Crosswaite,Australia,99% Dark & Pure,8/27/2022,2758.00,18
Kelci Walkden,India,Almond Choco,8/28/2022,3297.00,149
Camilla Castle,Australia,70% Dark Bites,8/29/2022,6048.00,477
Oby Sorrel,India,Smooth Sliky Salty,8/30/2022,10101.00,108
Kaine Padly,UK,Organic Choco Syrup,8/31/2022,2282.00,178
Marney O'Breen,India,Caramel Stuffed Bars,9/1/2022,4361.00,81
Karlen McCaffrey,UK,Eclairs,9/2/2022,7798.00,196
Van Tuxwell,India,Baker's Choco Chips,9/3/2022,3052.00,447
Gigi Bohling,UK,After Nines,9/4/2022,8029.00,175
Curtice Advani,Australia,Orange Choco,9/5/2022,854.00,136
Jehu Rudeforth,Canada,Smooth Sliky Salty,9/6/2022,5460.00,138
Karlen McCaffrey,Canada,Smooth Sliky Salty,9/7/2022,3017.00,184
Andria Kimpton,USA,85% Dark Bars,9/8/2022,8911.00,82
Jehu Rudeforth,Canada,Milk Bars,9/9/2022,7203.00,12
Rafaelita Blaksland,New Zealand,Caramel Stuffed Bars,9/10/2022,13083.00,14
Mallorie Waber,Australia,Milk Bars,9/11/2022,2779.00,104
Barr Faughny,USA,Fruit & Nut Bars,9/12/2022,9058.00,46
Marney O'Breen,UK,Caramel Stuffed Bars,9/13/2022,3549.00,112
Mallorie Waber,New Zealand,Manuka Honey Choco,9/14/2022,9436.00,11
Roddy Speechley,India,Peanut Butter Cubes,9/15/2022,10283.00,21
Roddy Speechley,New Zealand,Milk Bars,9/16/2022,5446.00,116
Ches Bonnell,Australia,White Choc,9/17/2022,1043.00,202
Van Tuxwell,USA,99% Dark & Pure,9/18/2022,12586.00,6
Kelci Walkden,India,After Nines,9/19/2022,1687.00,520
Brien Boise,UK,White Choc,9/20/2022,5299.00,167
Van Tuxwell,Canada,Almond Choco,9/21/2022,3213.00,72
Jehu Rudeforth,Australia,50% Dark Bites,9/22/2022,5194.00,418
Karlen McCaffrey,UK,Baker's Choco Chips,9/23/2022,4753.00,389
Jehu Rudeforth,Australia,Orange Choco,9/24/2022,13706.00,26
Marney O'Breen,India,Peanut Butter Cubes,9/25/2022,6489.00,146
Oby Sorrel,UK,Choco Coated Almonds,9/26/2022,9324.00,41
Gigi Bohling,USA,Spicy Special Slims,9/27/2022,10829.00,54
Barr Faughny,Australia,White Choc,9/28/2022,8113.00,370
Kaine Padly,Canada,Peanut Butter Cubes,9/29/2022,3269.00,176
Dotty Strutley,USA,Manuka Honey Choco,9/30/2022,273.00,210
Dennison Crosswaite,Australia,50% Dark Bites,10/1/2022,7287.00,12
Gigi Bohling,India,Raspberry Choco,10/2/2022,2583.00,159
Camilla Castle,UK,White Choc,10/3/2022,9982.00,187
Karlen McCaffrey,India,Drinking Coco,10/4/2022,4795.00,233
Dotty Strutley,UK,99% Dark & Pure,10/5/2022,9310.00,282
Husein Augar,New Zealand,Caramel Stuffed Bars,10/6/2022,497.00,475
Barr Faughny,UK,50% Dark Bites,10/7/2022,581.00,65
Curtice Advani,Australia,Organic Choco Syrup,10/8/2022,3472.00,311
Husein Augar,UK,Choco Coated Almonds,10/9/2022,4333.00,43
Wilone O'Kielt,Australia,After Nines,10/10/2022,3325.00,26
Dennison Crosswaite,USA,Almond Choco,10/11/2022,11718.00,84
Barr Faughny,Canada,Peanut Butter Cubes,10/12/2022,2100.00,78
Kaine Padly,USA,70% Dark Bites,10/13/2022,4018.00,100
Barr Faughny,New Zealand,Raspberry Choco,10/14/2022,6468.00,66
Dennison Crosswaite,UK,White Choc,10/15/2022,7238.00,265
Barr Faughny,India,Baker's Choco Chips,10/16/2022,6454.00,141
Van Tuxwell,New Zealand,Smooth Sliky Salty,10/17/2022,3115.00,42
Beverie Moffet,UK,White Choc,10/18/2022,6475.00,76
Camilla Castle,New Zealand,Mint Chip Choco,10/19/2022,1162.00,190
Ches Bonnell,UK,Orange Choco,10/20/2022,14238.00,54
Jan Morforth,Australia,White Choc,10/21/2022,3472.00,32
Mallorie Waber,Canada,85% Dark Bars,10/22/2022,1428.00,424
Rafaelita Blaksland,India,Spicy Special Slims,10/23/2022,8064.00,134
Ches Bonnell,Australia,Mint Chip Choco,10/24/2022,9660.00,92
Karlen McCaffrey,Australia,White Choc,10/25/2022,7357.00,48
Beverie Moffet,India,Drinking Coco,10/26/2022,6055.00,46
Brien Boise,Australia,Choco Coated Almonds,10/27/2022,5124.00,62
Karlen McCaffrey,Canada,Eclairs,10/28/2022,3479.00,358
Gigi Bohling,USA,99% Dark & Pure,10/29/2022,784.00,249
Marney O'Breen,UK,Smooth Sliky Salty,10/30/2022,18991.00,88
Beverie Moffet,New Zealand,Baker's Choco Chips,10/31/2022,1372.00,144
Beverie Moffet,Australia,Milk Bars,11/1/2022,735.00,390
Van Tuxwell,UK,Raspberry Choco,11/2/2022,6538.00,79
Jan Morforth,Australia,Orange Choco,11/3/2022,3199.00,122
Jehu Rudeforth,India,50% Dark Bites,11/4/2022,3472.00,135
Madelene Upcott,USA,After Nines,11/5/2022,4571.00,430
Barr Faughny,UK,Raspberry Choco,11/6/2022,5481.00,69
Ches Bonnell,Australia,70% Dark Bites,11/7/2022,3136.00,125
Marney O'Breen,UK,Baker's Choco Chips,11/8/2022,252.00,154
Kaine Padly,Australia,Peanut Butter Cubes,11/9/2022,5460.00,286
Rafaelita Blaksland,India,Almond Choco,11/10/2022,3395.00,99
Husein Augar,UK,Caramel Stuffed Bars,11/11/2022,14938.00,433
Roddy Speechley,India,Orange Choco,11/12/2022,4053.00,19
Jehu Rudeforth,UK,70% Dark Bites,11/13/2022,5565.00,258
Husein Augar,Australia,Manuka Honey Choco,11/14/2022,7161.00,92
Madelene Upcott,USA,Eclairs,11/15/2022,8883.00,200
Brien Boise,India,Eclairs,11/16/2022,1351.00,61
Mallorie Waber,New Zealand,White Choc,11/17/2022,3171.00,246
Husein Augar,USA,Milk Bars,11/18/2022,854.00,56
Van Tuxwell,Australia,Milk Bars,11/19/2022,7910.00,87
Beverie Moffet,Canada,White Choc,11/20/2022,9275.00,173
Dotty Strutley,Australia,50% Dark Bites,11/21/2022,3108.00,252
Mallorie Waber,New Zealand,Organic Choco Syrup,11/22/2022,5075.00,256
Husein Augar,USA,85% Dark Bars,11/23/2022,378.00,54
Madelene Upcott,Australia,50% Dark Bites,11/24/2022,7350.00,6
Wilone O'Kielt,UK,Drinking Coco,11/25/2022,3388.00,55
Camilla Castle,India,Peanut Butter Cubes,11/26/2022,11837.00,277
Curtice Advani,India,70% Dark Bites,11/27/2022,2282.00,44
Mallorie Waber,USA,Manuka Honey Choco,11/28/2022,5425.00,96
Dotty Strutley,UK,70% Dark Bites,11/29/2022,1267.00,216
Gunar Cockshoot,Australia,Almond Choco,11/30/2022,3752.00,424
Kaine Padly,New Zealand,Spicy Special Slims,12/1/2022,7728.00,37
Gigi Bohling,USA,50% Dark Bites,12/2/2022,2296.00,59
Beverie Moffet,UK,Smooth Sliky Salty,12/3/2022,4403.00,76
Beverie Moffet,Australia,Baker's Choco Chips,12/4/2022,3192.00,109
Beverie Moffet,India,70% Dark Bites,12/5/2022,448.00,146
Jehu Rudeforth,UK,Choco Coated Almonds,12/6/2022,4270.00,185
Kaine Padly,USA,50% Dark Bites,12/7/2022,70.00,27
Ches Bonnell,USA,Orange Choco,12/8/2022,1743.00,69
Gunar Cockshoot,UK,Manuka Honey Choco,12/9/2022,6762.00,46
Marney O'Breen,Australia,Smooth Sliky Salty,12/10/2022,3745.00,170
Marney O'Breen,India,After Nines,12/11/2022,2639.00,179
Ches Bonnell,New Zealand,Milk Bars,12/12/2022,4389.00,126
Rafaelita Blaksland,USA,Fruit & Nut Bars,12/13/2022,2604.00,65
Ches Bonnell,India,Organic Choco Syrup,12/14/2022,16569.00,99
Mallorie Waber,Australia,Orange Choco,12/15/2022,14658.00,275
Husein Augar,India,70% Dark Bites,12/16/2022,6454.00,157
Barr Faughny,New Zealand,85% Dark Bars,12/17/2022,2100.00,157
Madelene Upcott,UK,Caramel Stuffed Bars,12/18/2022,161.00,145
Gigi Bohling,Australia,Drinking Coco,12/19/2022,2807.00,139
Marney O'Breen,Canada,Choco Coated Almonds,12/20/2022,2639.00,406
Ches Bonnell,USA,70% Dark Bites,12/21/2022,4571.00,122
Madelene Upcott,India,Organic Choco Syrup,12/22/2022,4781.00,38
Barr Faughny,USA,50% Dark Bites,12/23/2022,13034.00,117
Dennison Crosswaite,New Zealand,Mint Chip Choco,12/24/2022,6454.00,417
Marney O'Breen,New Zealand,Smooth Sliky Salty,12/25/2022,8484.00,57
Brien Boise,Canada,Almond Choco,12/26/2022,4781.00,125
Beverie Moffet,Australia,White Choc,12/27/2022,2240.00,166
Dotty Strutley,Australia,Eclairs,12/28/2022,6979.00,3
Barr Faughny,UK,White Choc,12/29/2022,1652.00,72
Beverie Moffet,Canada,Baker's Choco Chips,12/30/2022,13447.00,95
Kelci Walkden,USA,White Choc,12/31/2022,9422.00,22
Kaine Padly,Canada,50% Dark Bites,1/1/2023,8687.00,100
Karlen McCaffrey,Canada,Organic Choco Syrup,1/2/2023,2415.00,312
Kaine Padly,UK,Peanut Butter Cubes,1/3/2023,6272.00,86
Karlen McCaffrey,USA,Milk Bars,1/4/2023,4389.00,7
Karlen McCaffrey,India,Orange Choco,1/5/2023,3122.00,149
Ches Bonnell,India,Smooth Sliky Salty,1/6/2023,8043.00,18
Wilone O'Kielt,New Zealand,Mint Chip Choco,1/7/2023,11662.00,242
Wilone O'Kielt,Australia,Fruit & Nut Bars,1/8/2023,392.00,102
Dennison Crosswaite,UK,Peanut Butter Cubes,1/9/2023,8925.00,158
Karlen McCaffrey,Australia,Almond Choco,1/10/2023,7294.00,128
Dennison Crosswaite,India,Milk Bars,1/11/2023,1526.00,96
Ches Bonnell,UK,Mint Chip Choco,1/12/2023,2688.00,209
Husein Augar,Australia,50% Dark Bites,1/13/2023,14889.00,52
Jan Morforth,India,Fruit & Nut Bars,1/14/2023,2912.00,55
Mallorie Waber,USA,85% Dark Bars,1/15/2023,2632.00,108
Mallorie Waber,USA,Eclairs,1/16/2023,6328.00,51
Dennison Crosswaite,Canada,Spicy Special Slims,1/17/2023,2527.00,216
Dennison Crosswaite,USA,Fruit & Nut Bars,1/18/2023,1414.00,318
Kelci Walkden,USA,99% Dark & Pure,1/19/2023,7714.00,238
Dotty Strutley,Canada,Raspberry Choco,1/20/2023,4347.00,238
Marney O'Breen,New Zealand,Milk Bars,1/21/2023,7490.00,315
Madelene Upcott,Australia,Choco Coated Almonds,1/22/2023,2058.00,72
Kelci Walkden,UK,Orange Choco,1/23/2023,3640.00,3
Dennison Crosswaite,Canada,Eclairs,1/24/2023,455.00,45
Karlen McCaffrey,India,Mint Chip Choco,1/25/2023,10990.00,184
Barr Faughny,New Zealand,Almond Choco,1/26/2023,5558.00,127
Mallorie Waber,Australia,85% Dark Bars,1/27/2023,2541.00,53
Ches Bonnell,Canada,Eclairs,1/28/2023,1876.00,172
Gigi Bohling,Australia,White Choc,1/29/2023,5523.00,87
Beverie Moffet,New Zealand,85% Dark Bars,1/30/2023,11200.00,22
Kaine Padly,USA,Caramel Stuffed Bars,1/31/2023,5593.00,122
Mallorie Waber,Australia,Almond Choco,2/1/2023,7882.00,125
Brien Boise,Canada,85% Dark Bars,2/2/2023,10241.00,259
Brien Boise,Australia,Drinking Coco,2/3/2023,6832.00,156
Dotty Strutley,USA,Orange Choco,2/4/2023,1379.00,107
Rafaelita Blaksland,Australia,50% Dark Bites,2/5/2023,3010.00,40
Dennison Crosswaite,India,99% Dark & Pure,2/6/2023,6888.00,311
Curtice Advani,UK,White Choc,2/7/2023,1540.00,73
Kelci Walkden,Australia,After Nines,2/8/2023,6916.00,288
Gigi Bohling,UK,Fruit & Nut Bars,2/9/2023,1232.00,86
Gunar Cockshoot,Australia,Raspberry Choco,2/10/2023,602.00,72
Curtice Advani,UK,Fruit & Nut Bars,2/11/2023,10927.00,136
Barr Faughny,Canada,50% Dark Bites,2/12/2023,10185.00,303
Curtice Advani,USA,Spicy Special Slims,2/13/2023,1603.00,264
Brien Boise,India,Almond Choco,2/14/2023,2170.00,218
Oby Sorrel,New Zealand,Smooth Sliky Salty,2/15/2023,8673.00,60
Jan Morforth,India,85% Dark Bars,2/16/2023,4760.00,418
Marney O'Breen,India,Fruit & Nut Bars,2/17/2023,4753.00,151
Andria Kimpton,New Zealand,50% Dark Bites,2/18/2023,3374.00,202
Gunar Cockshoot,Canada,Raspberry Choco,2/19/2023,2058.00,126
Kelci Walkden,USA,Drinking Coco,2/20/2023,6454.00,160
Van Tuxwell,Canada,White Choc,2/21/2023,420.00,3
Rafaelita Blaksland,USA,Baker's Choco Chips,2/22/2023,2863.00,58
Van Tuxwell,Australia,Caramel Stuffed Bars,2/23/2023,5936.00,59
Ches Bonnell,New Zealand,Peanut Butter Cubes,2/24/2023,889.00,273
Kelci Walkden,Canada,Milk Bars,2/25/2023,16016.00,28
Dennison Crosswaite,Canada,Choco Coated Almonds,2/26/2023,10479.00,118
Curtice Advani,Australia,Almond Choco,2/27/2023,2912.00,75
Madelene Upcott,Australia,85% Dark Bars,2/28/2023,1575.00,329
Gigi Bohling,UK,50% Dark Bites,3/1/2023,8197.00,69
Ches Bonnell,UK,Manuka Honey Choco,3/2/2023,4221.00,395
Gigi Bohling,UK,70% Dark Bites,3/3/2023,840.00,81
Jehu Rudeforth,Australia,Peanut Butter Cubes,3/4/2023,5691.00,38
Marney O'Breen,India,Eclairs,3/5/2023,3472.00,96
Curtice Advani,Canada,Fruit & Nut Bars,3/6/2023,4193.00,195
Kaine Padly,UK,Smooth Sliky Salty,3/7/2023,9016.00,554
Karlen McCaffrey,Canada,Spicy Special Slims,3/8/2023,6328.00,47
Kelci Walkden,USA,Organic Choco Syrup,3/9/2023,9870.00,152
Curtice Advani,India,Spicy Special Slims,3/10/2023,161.00,134
Roddy Speechley,India,After Nines,3/11/2023,2576.00,112
Camilla Castle,Australia,Caramel Stuffed Bars,3/12/2023,3178.00,16
Curtice Advani,Australia,99% Dark & Pure,3/13/2023,4676.00,84
Mallorie Waber,UK,50% Dark Bites,3/14/2023,5502.00,99
Ches Bonnell,Canada,Baker's Choco Chips,3/15/2023,7462.00,371
Van Tuxwell,UK,Drinking Coco,3/16/2023,5803.00,136
Gunar Cockshoot,Canada,Fruit & Nut Bars,3/17/2023,13888.00,203
Gunar Cockshoot,New Zealand,Spicy Special Slims,3/18/2023,6867.00,183
Gunar Cockshoot,Australia,Drinking Coco,3/19/2023,2317.00,195
Karlen McCaffrey,New Zealand,Fruit & Nut Bars,3/20/2023,1218.00,135
Dennison Crosswaite,New Zealand,Drinking Coco,3/21/2023,4109.00,197
Jehu Rudeforth,India,99% Dark & Pure,3/22/2023,1953.00,242
Dotty Strutley,Australia,Mint Chip Choco,3/23/2023,6790.00,25
Roddy Speechley,Australia,Mint Chip Choco,3/24/2023,6797.00,252
Madelene Upcott,New Zealand,Raspberry Choco,3/25/2023,9226.00,415
Dotty Strutley,New Zealand,Choco Coated Almonds,3/26/2023,5733.00,348
Roddy Speechley,New Zealand,50% Dark Bites,3/27/2023,4312.00,211
Rafaelita Blaksland,India,Smooth Sliky Salty,3/28/2023,1638.00,81
Husein Augar,UK,White Choc,3/29/2023,10815.00,145
Roddy Speechley,Australia,Almond Choco,3/30/2023,4466.00,74
Van Tuxwell,USA,Caramel Stuffed Bars,3/31/2023,987.00,21
Camilla Castle,Australia,99% Dark & Pure,4/1/2023,4669.00,101
Kaine Padly,India,Milk Bars,4/2/2023,2905.00,91
Ches Bonnell,Australia,Smooth Sliky Salty,4/3/2023,7490.00,54
Mallorie Waber,USA,Almond Choco,4/4/2023,6986.00,368
Kaine Padly,Canada,99% Dark & Pure,4/5/2023,1288.00,409
Oby Sorrel,UK,After Nines,4/6/2023,2345.00,104
Gunar Cockshoot,UK,Eclairs,4/7/2023,3619.00,164
Dotty Strutley,USA,Caramel Stuffed Bars,4/8/2023,16982.00,76
Jan Morforth,India,Peanut Butter Cubes,4/9/2023,8092.00,178
Husein Augar,Australia,Eclairs,4/10/2023,6993.00,31
Beverie Moffet,USA,Smooth Sliky Salty,4/11/2023,2317.00,352
Camilla Castle,Australia,Manuka Honey Choco,4/12/2023,637.00,169
Oby Sorrel,Australia,Almond Choco,4/13/2023,6034.00,223
Jan Morforth,USA,Orange Choco,4/14/2023,980.00,146
Gigi Bohling,USA,Fruit & Nut Bars,4/15/2023,2821.00,112
Mallorie Waber,UK,Milk Bars,4/16/2023,3563.00,284
Curtice Advani,USA,Raspberry Choco,4/17/2023,2996.00,139
Marney O'Breen,Canada,Milk Bars,4/18/2023,2436.00,309
Brien Boise,India,Caramel Stuffed Bars,4/19/2023,1540.00,100
Gunar Cockshoot,USA,Eclairs,4/20/2023,6916.00,42
Roddy Speechley,USA,Fruit & Nut Bars,4/21/2023,5509.00,24
Gunar Cockshoot,India,50% Dark Bites,4/22/2023,12992.00,83
Wilone O'Kielt,New Zealand,Manuka Honey Choco,4/23/2023,3724.00,234
Kaine Padly,UK,Manuka Honey Choco,4/24/2023,7133.00,118
